epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,39.5343,0.59537,0.66948,0.84555,0.96651,0.99757,0.995,0.84407,0.55517,0.46831,0.81841,0.0234861,0.00748608,0.00748608
86,40.011,0.59749,0.61035,0.85289,0.96651,0.99757,0.995,0.84407,0.55517,0.46831,0.81841,0.022463,0.007463,0.007463
87,40.4947,0.54527,0.6166,0.83598,0.96651,0.99757,0.995,0.84407,0.55517,0.46831,0.81841,0.0214373,0.00743728,0.00743728
88,41.0034,0.59792,0.65503,0.85459,0.97756,0.95304,0.995,0.83014,0.6253,0.69808,0.84096,0.0204089,0.00740892,0.00740892
89,41.4408,0.61172,0.57589,0.86787,0.97756,0.95304,0.995,0.83014,0.6253,0.69808,0.84096,0.0193779,0.00737792,0.00737792
90,41.8825,0.63076,0.55883,0.86222,0.97756,0.95304,0.995,0.83014,0.6253,0.69808,0.84096,0.0183443,0.00734428,0.00734428
91,42.4065,0.54183,0.48401,0.86743,0.97756,0.95304,0.995,0.83014,0.6253,0.69808,0.84096,0.017308,0.007308,0.007308
92,42.8846,0.66361,0.6157,0.82481,0.96884,0.99743,0.995,0.88664,0.63881,0.48946,0.8277,0.0162691,0.00726908,0.00726908
93,43.3368,0.72851,0.49842,0.86092,0.96884,0.99743,0.995,0.88664,0.63881,0.48946,0.8277,0.0152275,0.00722752,0.00722752
94,43.7826,0.72586,0.48944,0.84644,0.96884,0.99743,0.995,0.88664,0.63881,0.48946,0.8277,0.0141833,0.00718332,0.00718332
95,44.2178,0.7791,0.54537,0.84705,0.96884,0.99743,0.995,0.88664,0.63881,0.48946,0.8277,0.0131365,0.00713648,0.00713648
96,44.7415,0.73058,0.57959,0.86689,0.9709,1,0.995,0.83801,0.66681,0.61148,0.85413,0.012087,0.007087,0.007087
97,45.2018,0.78916,0.53967,0.89249,0.9709,1,0.995,0.83801,0.66681,0.61148,0.85413,0.0110349,0.00703488,0.00703488
98,45.6471,0.74964,0.47144,0.87078,0.9709,1,0.995,0.83801,0.66681,0.61148,0.85413,0.00998012,0.00698012,0.00698012
99,46.0778,0.65908,0.44903,0.87983,0.9709,1,0.995,0.83801,0.66681,0.61148,0.85413,0.00892272,0.00692272,0.00692272
100,46.5392,0.86478,0.54103,0.88497,0.98773,1,0.995,0.88737,0.58994,0.50971,0.80991,0.00786268,0.00686268,0.00686268
101,46.9788,0.72208,0.49494,0.87675,0.98773,1,0.995,0.88737,0.58994,0.50971,0.80991,0.0068,0.0068,0.0068
102,47.4301,0.66944,0.43091,0.85528,0.98773,1,0.995,0.88737,0.58994,0.50971,0.80991,0.006668,0.006668,0.006668
103,47.8513,0.73379,0.46294,0.89883,0.98773,1,0.995,0.88737,0.58994,0.50971,0.80991,0.006536,0.006536,0.006536
104,48.3247,0.61784,0.43017,0.85497,0.97104,1,0.995,0.82368,0.65951,0.57526,0.8561,0.006404,0.006404,0.006404
105,48.8176,0.67404,0.49744,0.90168,0.97104,1,0.995,0.82368,0.65951,0.57526,0.8561,0.006272,0.006272,0.006272
106,49.2969,0.67468,0.42814,0.85224,0.97104,1,0.995,0.82368,0.65951,0.57526,0.8561,0.00614,0.00614,0.00614
107,49.7572,0.68587,0.50459,0.92226,0.97104,1,0.995,0.82368,0.65951,0.57526,0.8561,0.006008,0.006008,0.006008
108,50.2445,0.65008,0.45511,0.82041,0.95468,0.99921,0.995,0.86675,0.49213,0.40897,0.80907,0.005876,0.005876,0.005876
109,50.7123,0.54754,0.41959,0.8446,0.95468,0.99921,0.995,0.86675,0.49213,0.40897,0.80907,0.005744,0.005744,0.005744
